No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
163,17.46,7.6,18.81,6.72,10.6,12.5,0
164,17.44,7.6,18.81,6.68,10.6,12.5,0
165,17.39,7.46,18.79,6.62,10.6,12.5,0
166,17.38,7.46,18.79,6.59,10.58,12.48,0
167,17.38,7.46,18.76,6.52,10.56,12.46,0
168,17.36,7.46,18.76,6.47,10.51,12.41,0
169,17.34,7.46,18.74,6.39,10.51,12.41,0
170,17.33,7.46,18.73,6.36,10.49,12.39,0
171,17.31,7.46,18.64,6.33,10.45,12.35,0
172,17.29,7.46,18.53,6.25,10.43,12.33,0
173,17.28,7.46,18.5,6.21,10.36,12.26,0
174,17.27,7.46,18.49,6.17,10.31,12.21,0
175,17.26,7.46,18.48,6.12,10.29,12.19,0
176,17.23,7.46,18.48,6.09,10.29,12.19,0
177,17.23,7.46,18.47,6.01,10.27,12.17,0
178,17.19,7.41,18.38,5.96,10.27,12.17,0
179,17.18,7.41,18.37,5.95,10.26,12.16,0
180,17.16,7.41,18.34,5.92,10.25,12.15,0
181,17.15,7.41,18.33,5.88,10.24,12.14,0
182,17.13,7.41,18.33,5.85,10.17,12.07,0
183,17.13,7.41,18.26,5.8,10.17,12.07,0
184,17.11,7.41,18.24,5.76,10.17,12.07,0
185,17.11,7.41,18.11,6,10.14,12.04,0
186,17.1,7.41,18.09,5.93,10.08,11.98,0
187,17.08,7.41,18.05,5.92,10.06,11.96,0
188,17.07,7.41,18.05,5.87,10.04,11.94,0
189,17.02,7.41,18.05,5.86,10,11.9,0
190,17.01,7.38,18.03,5.79,9.97,11.87,0
191,17,7.38,17.99,5.74,9.96,11.86,0
192,16.98,7.38,17.96,5.7,9.92,11.82,0
193,16.96,7.38,17.93,5.66,9.91,11.81,0
194,16.95,7.38,17.87,5.61,9.88,11.78,0
195,16.94,7.38,17.83,5.59,9.86,11.76,0
196,16.93,7.38,17.79,5.52,9.85,11.75,0
197,16.92,7.38,17.79,5.51,9.83,11.73,0
198,16.91,7.38,17.77,5.48,9.8,11.7,0
199,16.9,7.38,17.71,5.41,9.77,11.67,0
200,16.9,7.38,17.71,5.36,9.76,11.66,0
201,16.87,7.38,17.71,5.31,9.75,11.65,0
202,16.86,7.38,17.67,5.28,9.66,11.56,0
203,16.83,7.38,17.67,5.24,9.61,11.51,0
204,16.83,7.38,17.67,5.21,9.59,11.49,0
205,16.82,7.38,17.67,5.18,9.54,11.44,0
206,16.82,7.38,17.61,5.12,9.54,11.44,0
207,16.81,7.38,17.59,5.07,9.51,11.41,0
208,16.79,7.35,17.55,5.05,9.46,11.36,0
209,16.78,7.35,17.54,5.03,9.41,11.31,0
210,16.77,7.35,17.47,5.4,9.38,11.28,0
211,16.76,7.35,17.47,5.36,9.38,11.28,0
212,16.75,7.35,17.41,5.34,9.36,11.26,0
213,16.73,7.35,17.39,5.25,9.34,11.24,0
214,16.71,7.35,17.23,5.23,9.32,11.22,0
215,16.71,7.35,17.1,5.18,9.29,11.19,0
216,16.71,7.35,16.98,5.14,9.26,11.16,0
217,16.69,7.35,16.95,5.1,9.25,11.15,0
218,16.67,7.35,16.94,5.08,9.22,11.12,0
219,16.66,7.35,16.94,5.06,9.18,11.08,0
220,16.65,7.35,16.85,5.01,9.17,11.07,0
221,16.63,7.35,16.7,4.95,9.13,11.03,0
222,16.62,7.35,16.63,4.9,9.11,11.01,0
223,16.59,7.35,16.5,4.86,9.11,11.01,0
224,16.58,7.35,16.47,4.82,9.08,10.98,0
225,16.55,7.32,16.44,4.8,9,10.9,0
226,16.53,7.32,16.39,4.77,8.98,10.88,0
227,16.52,7.32,16.34,4.75,8.98,10.88,0
228,16.5,7.32,16.34,4.72,8.98,10.88,0
229,16.5,7.32,16.32,4.7,8.92,10.82,0
230,16.5,7.32,16.32,4.63,8.9,10.8,0
231,16.46,7.32,16.26,4.56,8.82,10.72,0
232,16.44,7.32,16.19,4.54,8.76,10.66,0
233,16.43,7.32,16.18,4.51,8.75,10.65,0
234,16.43,7.32,16.12,4.46,8.71,10.61,0
235,16.41,7.32,16.11,4.98,8.71,10.61,0
236,16.37,7.32,16.11,4.94,8.69,10.59,0
237,16.36,7.32,16.1,4.9,8.68,10.58,0
238,16.35,7.32,16.09,4.87,8.64,10.54,0
239,16.34,7.29,16.04,4.86,8.62,10.52,0
240,16.33,7.29,15.92,4.83,8.62,10.52,0
241,16.32,7.29,15.88,4.79,8.6,10.5,0
242,16.3,7.29,15.78,4.76,8.56,10.46,0
243,16.3,7.29,15.72,4.75,8.54,10.44,0
244,16.29,7.29,15.64,4.68,8.52,10.42,0
245,16.29,7.29,15.6,4.66,8.51,10.41,0
246,16.28,7.29,15.54,4.6,8.47,10.37,0
247,16.25,7.29,15.54,4.56,8.45,10.35,0
248,16.24,7.29,15.5,4.52,8.44,10.34,0
249,16.22,7.29,15.44,4.5,8.42,10.32,0
250,16.2,7.29,15.42,4.47,8.42,10.32,0
251,16.19,7.29,15.39,4.44,8.41,10.31,0
252,16.19,7.29,15.34,4.4,8.36,10.26,0
253,16.18,7.29,15.33,4.37,8.33,10.23,0
254,16.16,7.25,15.23,4.36,8.32,10.22,0
255,16.15,7.24,15.21,4.61,8.31,10.21,0
256,16.12,7.23,15.14,4.58,8.25,10.15,0
257,16.11,7.23,15.12,4.54,8.25,10.15,0
258,16.1,7.21,15.11,4.51,8.22,10.12,0
259,16.1,7.2,15.02,4.47,8.21,10.11,0
260,16.09,7.19,15,4.41,8.2,10.1,0
261,16.08,7.18,14.99,4.4,8.19,10.09,0
262,16.06,7.17,14.98,4.36,8.17,10.07,0
263,16.04,7.15,14.94,4.34,8.14,10.04,0
264,16.02,7.14,14.9,4.33,8.11,10.02,0
265,16.01,7.13,14.89,4.31,8.08,10.02,0
266,16,7.12,14.88,4.29,8.06,10.02,0
267,15.99,7.12,14.86,4.26,8.06,10.02,0
268,15.99,7.09,14.84,4.22,8.02,10.02,0
269,15.98,7.09,14.82,4.19,8.02,10.02,0
270,15.97,7.08,14.81,4.17,7.96,10.02,0
271,15.96,7.06,14.74,4.15,7.95,10.02,0
272,15.95,7.05,14.73,4.12,7.95,10.02,0
273,15.95,7.01,14.69,4.1,7.91,10.02,0
274,15.93,7.01,14.67,4.08,7.85,10.02,0
275,15.92,6.99,14.66,4.28,7.82,10.02,0
276,15.92,6.97,14.65,4.27,7.81,10.02,0
277,15.91,6.95,14.63,4.25,7.8,10.01,0
278,15.91,6.94,14.6,4.22,7.8,10.01,0
279,15.9,6.93,14.55,4.21,7.78,10.01,0
280,15.89,6.92,14.52,4.19,7.77,10.01,0
281,15.89,6.91,14.48,4.17,7.74,10.01,0
282,15.88,6.89,14.47,4.13,7.73,10.01,0
283,15.87,6.88,14.47,4.11,7.72,10.01,0
284,15.86,6.87,14.47,4.1,7.72,10.01,0
285,15.85,6.87,14.47,4.1,7.72,10.01,0
286,15.84,6.86,14.46,4.07,7.7,10.01,0
287,15.82,6.84,14.45,4.05,7.67,10.01,0
288,15.79,6.83,14.45,4.03,7.66,10.01,0
289,15.79,6.82,14.43,4,7.63,10.01,0
290,15.78,6.8,14.41,3.98,7.63,10.01,0
291,15.77,6.8,14.4,3.98,7.61,10.01,0
292,15.77,6.78,14.39,3.95,7.59,10.01,0
293,15.76,6.78,14.38,3.93,7.54,10.01,0
294,15.76,6.76,14.37,3.92,7.49,10.01,0
295,15.76,6.75,14.37,3.91,7.44,10.01,0
296,15.76,6.73,14.35,3.9,7.37,10.01,0
297,15.75,6.72,14.34,3.89,7.31,10.01,0
298,15.74,6.7,14.34,3.87,7.3,10.01,0
299,15.73,6.68,14.33,3.86,7.29,10.01,0
300,15.73,6.66,14.32,3.87,7.27,9.92,0
301,15.72,6.65,14.31,3.86,7.22,9.92,0
302,15.7,6.64,14.31,3.84,7.21,9.92,0
303,15.7,6.63,14.31,3.83,7.16,9.92,0
304,15.7,6.62,14.29,3.82,7.13,9.92,0
305,15.69,6.61,14.29,3.82,7.13,9.92,0
306,15.69,6.6,14.28,3.8,7.09,9.92,0
307,15.68,6.6,14.27,3.8,7.08,9.92,0
308,15.68,6.59,14.24,3.79,7.06,9.92,0
309,15.67,6.57,14.22,3.77,7.04,9.92,0
310,15.67,6.57,14.21,3.76,7.03,9.92,0
311,15.66,6.55,14.21,3.74,7.02,9.92,0
312,15.66,6.53,14.19,3.73,7,9.92,0
313,15.65,6.52,14.18,3.72,6.99,9.92,0
314,15.65,6.51,14.18,3.71,6.98,9.92,0
315,15.64,6.49,14.18,3.7,6.96,9.92,0
316,15.63,6.48,14.17,3.69,6.88,9.92,0
317,15.63,6.47,14.16,3.68,6.88,9.92,0
318,15.63,6.45,14.14,3.68,6.87,9.92,0
319,15.63,6.44,14.14,3.67,6.85,9.92,0
320,15.62,6.43,14.14,3.69,6.83,9.88,0
321,15.62,6.42,14.13,3.69,6.8,9.88,0
322,15.62,6.41,14.13,3.68,6.73,9.88,0
323,15.61,6.4,14.13,3.68,6.71,9.88,0
324,15.6,6.4,14.13,3.67,6.7,9.88,0
325,15.6,6.38,14.13,3.67,6.69,9.88,0
326,15.59,6.37,14.13,3.66,6.68,9.88,0
327,15.59,6.36,14.12,3.66,6.67,9.88,0
328,15.59,6.36,14.11,3.65,6.65,9.88,0
329,15.59,6.33,14.11,3.64,6.61,9.88,0
330,15.58,6.32,14.11,3.63,6.59,9.88,0
331,15.57,6.32,14.11,3.63,6.58,9.88,0
332,15.57,6.3,14.1,3.62,6.57,9.88,0
333,15.57,6.29,14.09,3.62,6.57,9.88,0
334,15.56,6.28,14.09,3.61,6.54,9.88,0
335,15.55,6.27,14.09,3.6,6.51,9.88,0
336,15.55,6.26,14.08,3.6,6.46,9.88,0
337,15.54,6.25,14.04,3.59,6.45,9.88,0
338,15.54,6.24,14.04,3.58,6.41,9.88,0
339,15.54,6.23,14.03,3.57,6.38,9.88,0
340,15.54,6.22,14.03,3.57,6.34,9.85,0
341,15.54,6.21,14.03,3.56,6.31,9.85,0
342,15.53,6.21,14.01,3.55,6.29,9.85,0
343,15.53,6.2,14,3.54,6.28,9.85,0
344,15.52,6.19,13.99,3.54,6.23,9.85,0
345,15.52,6.18,13.98,3.54,6.22,9.85,0
346,15.52,6.17,13.98,3.54,6.17,9.85,0
347,15.5,6.16,13.97,3.51,6.13,9.85,0
348,15.5,6.15,13.97,3.51,6.13,9.85,0
349,15.5,6.14,13.97,3.51,6.1,9.85,0
350,15.5,6.13,13.96,3.55,6.06,9.85,0
351,15.49,6.12,13.96,3.54,6.04,9.85,0
352,15.49,6.12,13.95,3.54,6.02,9.85,0
353,15.49,6.1,13.94,3.54,6,9.85,0
354,15.48,6.09,13.94,3.54,5.97,9.85,0
355,15.48,6.09,13.93,3.54,5.95,9.85,0
356,15.47,6.08,13.92,3.53,5.94,9.85,0
357,15.47,6.08,13.91,3.53,5.9,9.85,0
358,15.47,6.07,13.91,3.53,5.9,9.85,0
359,15.47,6.07,13.91,3.52,5.88,9.85,0
360,15.46,6.06,13.9,3.52,5.87,9.85,0
361,15.46,6.05,13.9,3.52,5.86,9.85,0
362,15.46,6.04,13.9,3.51,5.85,9.85,0
363,15.45,6.04,13.9,3.5,5.83,9.85,0
364,15.45,6.03,13.89,3.5,5.83,9.85,0
365,15.45,6.02,13.89,3.5,5.79,9.85,0
366,15.44,6.01,13.88,3.49,5.76,9.85,0
367,15.44,6,13.88,3.49,5.74,9.85,0
368,15.44,5.99,13.87,3.49,5.72,9.85,0
369,15.44,5.99,13.86,3.49,5.7,9.85,0
370,15.44,5.98,13.83,3.48,5.69,9.85,0
371,15.43,5.98,13.83,3.48,5.69,9.85,0
372,15.43,5.97,13.82,3.47,5.67,9.85,0
373,15.42,5.97,13.82,3.47,5.63,9.82,0
374,15.42,5.96,13.81,3.5,5.6,9.82,0
375,15.42,5.96,13.81,3.5,5.59,9.82,0
376,15.41,5.95,13.81,3.5,5.56,9.82,0
377,15.41,5.94,13.81,3.5,5.56,9.82,0
378,15.41,5.93,13.81,3.5,5.56,9.82,0
379,15.4,5.93,13.8,3.49,5.54,9.82,0
380,15.4,5.92,13.8,3.48,5.52,9.82,0
381,15.4,5.91,13.8,3.48,5.49,9.82,0
382,15.39,5.91,13.8,3.48,5.46,9.82,0
383,15.39,5.9,13.8,3.48,5.46,9.82,0
384,15.39,5.9,13.8,3.48,5.44,9.82,0
385,15.38,5.89,13.8,3.48,5.42,9.82,0
386,15.38,5.89,13.8,3.47,5.39,9.82,0
387,15.38,5.89,13.78,3.47,5.32,9.82,0
388,15.37,5.89,13.78,3.47,5.27,9.82,0
389,15.37,5.88,13.78,3.47,5.26,9.82,0
390,15.36,5.88,13.78,3.46,5.23,9.82,0
391,15.36,5.87,13.76,3.46,5.21,9.82,0
392,15.36,5.86,13.74,3.46,5.19,9.82,0
393,15.35,5.86,13.74,3.46,5.18,9.82,0
394,15.35,5.86,13.73,3.45,5.16,9.82,0
395,15.35,5.85,13.72,3.45,5.16,9.82,0
396,15.35,5.85,13.72,3.45,5.14,9.82,0
397,15.34,5.84,13.72,3.45,5.11,9.82,0
398,15.34,5.84,13.72,3.45,5.08,9.82,0
399,15.34,5.83,13.71,3.45,5.08,9.82,0
400,15.33,5.83,13.7,3.45,5.05,9.82,0
401,15.33,5.82,13.7,3.45,5.02,9.82,0
402,15.33,5.82,13.69,3.44,4.99,9.79,0
403,15.33,5.82,13.69,3.44,4.97,9.79,0
404,15.33,5.81,13.69,3.44,4.95,9.79,0
405,15.32,5.81,13.69,3.47,4.95,9.79,0
406,15.32,5.8,13.68,3.47,4.92,9.79,0
407,15.32,5.8,13.67,3.47,4.92,9.79,0
408,15.31,5.8,13.67,3.46,4.89,9.79,0
409,15.31,5.8,13.66,3.46,4.88,9.79,0
410,15.31,5.79,13.66,3.46,4.86,9.79,0
411,15.31,5.79,13.66,3.46,4.84,9.79,0
412,15.31,5.79,13.66,3.46,4.8,9.79,0
413,15.3,5.79,13.66,3.46,4.79,9.79,0
414,15.3,5.78,13.66,3.46,4.78,9.79,0
415,15.3,5.78,13.66,3.46,4.76,9.79,0
416,15.3,5.78,13.66,3.46,4.74,9.79,0
417,15.3,5.77,13.66,3.46,4.74,9.79,0
418,15.29,5.77,13.66,3.46,4.72,9.79,0
419,15.29,5.77,13.64,3.46,4.72,9.79,0
420,15.29,5.77,13.64,3.45,4.72,9.76,0
421,15.28,5.76,13.64,3.45,4.69,9.76,0
422,15.28,5.76,13.64,3.45,4.67,9.76,0
423,15.28,5.76,13.64,3.45,4.66,9.76,0
424,15.28,5.75,13.64,3.45,4.64,9.76,0
425,15.28,5.75,13.64,3.45,4.59,9.76,0
426,15.28,5.75,13.64,3.44,4.55,9.76,0
427,15.28,5.75,13.64,3.44,4.53,9.76,0
428,15.27,5.74,13.64,3.44,4.52,9.76,0
429,15.27,5.74,13.64,3.44,4.49,9.76,0
430,15.27,5.72,13.64,3.44,4.48,9.76,0
431,15.27,5.71,13.64,3.44,4.47,9.76,0
432,15.26,5.71,13.64,3.44,4.46,9.76,0
433,15.26,5.71,13.64,3.44,4.44,9.76,0
434,15.26,5.71,13.64,3.5,4.43,9.76,0
435,15.25,5.71,13.64,3.5,4.43,9.76,0
436,15.25,5.7,13.64,3.5,4.42,9.76,0
437,15.24,5.7,13.61,3.5,4.4,9.76,0
438,15.24,5.7,13.61,3.5,4.37,9.76,0
439,15.24,5.7,13.61,3.5,4.36,9.76,0
440,15.24,5.69,13.6,3.5,4.35,9.76,0
441,15.23,5.69,13.6,3.5,4.34,9.76,0
442,15.23,5.69,13.6,3.5,4.32,9.76,0
443,15.22,5.69,13.6,3.5,4.3,9.74,0
444,15.22,5.69,13.6,3.5,4.28,9.74,0
445,15.22,5.68,13.6,3.5,4.27,9.74,0
446,15.21,5.68,13.59,3.5,4.25,9.74,0
447,15.21,5.68,13.59,3.49,4.22,9.74,0
448,15.21,5.68,13.59,3.49,4.2,9.74,0
449,15.21,5.68,13.59,3.49,4.18,9.74,0
450,15.2,5.68,13.59,3.49,4.17,9.74,0
451,15.2,5.67,13.58,3.49,4.16,9.74,0
452,15.2,5.67,13.58,3.49,4.15,9.74,0
453,15.2,5.67,13.58,3.49,4.13,9.74,0
454,15.2,5.67,13.58,3.49,4.13,9.74,0
455,15.2,5.67,13.58,3.49,4.11,9.74,0
456,15.2,5.66,13.58,3.49,4.08,9.74,0
457,15.2,5.66,13.58,3.49,4.06,9.74,0
458,15.19,5.66,13.58,3.49,4.01,9.74,0
459,15.19,5.66,13.58,3.49,4,9.74,0
460,15.19,5.66,13.58,3.49,3.94,9.74,0
461,15.19,5.66,13.58,3.49,3.92,9.74,0
462,15.18,5.66,13.58,3.49,3.89,9.74,0
463,15.18,5.65,13.58,3.47,3.85,9.74,0
464,15.18,5.65,13.58,3.47,3.83,9.74,0
465,15.18,5.65,13.58,3.47,3.79,9.74,0
466,15.17,5.65,13.58,3.47,3.78,9.74,0
467,15.17,5.63,13.58,3.47,3.72,9.74,0
468,15.17,5.63,13.58,3.47,3.7,9.71,0
469,15.16,5.62,13.58,3.47,3.65,9.71,0
470,15.16,5.62,13.58,3.47,3.63,9.71,0
471,15.15,5.62,13.58,3.47,3.61,9.71,0
472,15.15,5.62,13.58,3.47,3.6,9.71,0
473,15.15,5.62,13.58,3.47,3.56,9.71,0
474,15.14,5.62,13.58,3.47,3.53,9.71,0
475,15.14,5.62,13.58,3.47,3.52,9.71,0
476,15.14,5.61,13.58,3.46,3.49,9.71,0
477,15.13,5.61,13.58,3.46,3.47,9.71,0
478,15.13,5.61,13.58,3.46,3.43,9.71,0
479,15.13,5.61,13.58,3.46,3.4,9.71,0
480,15.13,5.61,13.58,3.46,3.37,9.71,0
481,15.13,5.61,13.58,3.46,3.33,9.71,0
482,15.12,5.61,13.58,3.46,3.27,9.71,0
483,15.12,5.61,13.58,3.46,3.24,9.71,0
484,15.12,5.61,13.58,3.46,3.19,9.71,0
485,15.12,5.61,13.58,3.46,3.16,9.71,0
486,15.12,5.6,13.58,3.48,3.1,9.68,0
487,15.12,5.6,13.58,3.48,3.07,9.68,0
488,15.12,5.6,13.58,3.48,3.02,9.68,0
489,15.12,5.6,13.58,3.48,2.96,9.68,0
490,15.11,5.6,13.58,3.48,2.9,9.68,0
491,15.11,5.6,13.58,3.48,2.86,9.68,0
492,15.11,5.6,13.58,3.48,2.82,9.68,0
493,15.11,5.6,13.58,3.48,2.76,9.68,0
494,15.11,5.6,13.58,3.48,2.72,9.68,0
495,15.11,5.6,13.58,3.48,2.68,9.68,0
